Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
279,Mountain,Greenwich,Greenwich,"$364,429 ","$6,067 ",35
280,Kusama: Infinity,Magnolia…,Magnolia Pictures,"$360,931 ","$30,998 ",22
281,Shine,GVNRelea…,GVN Releasing,"$333,388 ","$205,842 ",609
282,Flower,TheOrchard,The Orchard,"$328,188 ","$48,919 ",102
283,Damsel,Magnolia…,Magnolia Pictures,"$305,136 ","$20,291 ",42
284,Huang Jin Xiong Di,WellGoUSA,Well Go USA,"$285,795 ","$121,391 ",34
285,But Deliver Us From Evil,IndicanP…,Indican Pictures,"$285,169 ","$99,541 ",247
286,Science Fair,National…,National Geographic Entertainment,"$278,350 ","$11,231 ",49
287,Kings,TheOrchard,The Orchard,"$274,320 ","$163,289 ",214
288,The Endless,WellGoUSA,Well Go USA,"$272,020 ","$9,083 ",20
289,The World Before Your Feet,Greenwich,Greenwich,"$268,646 ","$21,337 ",11
290,Di Ren Jie Zhi Si Da Tian Wang,WellGoUSA,Well Go USA,"$262,963 ","$126,929 ",31
291,The King,Oscillosc…,Oscilloscope Pictures,"$259,291 ","$29,050 ",45
292,The House That Jack Built,IFCFilms,IFC Films,"$259,017 ","$34,273 ",140
293,What They Had,Bleecker…,Bleecker Street,"$257,869 ","$17,683 ",53
294,Le Vin et le Vent,MusicBox…,Music Box Films,"$257,610 ","$15,157 ",18
295,London Fields,GVNRelea…,GVN Releasing,"$252,676 ","$168,575 ",613
296,Generation Wealth,AmazonSt…,Amazon Studios,"$237,709 ","$35,834 ",45
297,Skate Kitchen,Magnolia…,Magnolia Pictures,"$236,799 ","$18,605 ",34
298,Borg vs McEnroe,Neon,Neon,"$231,346 ","$52,625 ",51
299,Matangi/Maya/M.I.A.,Abramoram…,Abramorama Films,"$230,808 ","$43,573 ",9
300,Mutafukaz,GKIDS,GKIDS,"$229,423 ","$6,094 ",436
301,Seuwingkizeu,WellGoUSA,Well Go USA,"$222,001 ","$43,952 ",21
302,Dark Money,PBSDistr…,PBS Distribution,"$217,932 ","$8,100 ",20
303,Getting Grace,Hannover…,Hannover House,"$217,812 ","$103,831 ",60
304,Dong Du Te Gong,ChinaLio…,China Lion Film Distribution,"$208,351 ","$62,235 ",10
305,Den Skyldige,Magnolia…,Magnolia Pictures,"$207,140 ","$60,050 ",31
306,Keep The Change,KinoLorber,Kino Lorber,"$202,788 ","$12,445 ",13
307,Gemini,Neon,Neon,"$200,340 ","$31,976 ",56
308,Zama,Strand,Strand,"$200,181 ","$26,123 ",19
309,Gauguin - Voyage de Tahiti,CohenMed…,Cohen Media,"$200,140 ",$0 ,10
310,Studio 54,Zeitgeist,Zeitgeist,"$199,767 ","$14,909 ",14
311,Little Pink House,DadaFilms,Dada Films,"$199,069 ","$68,507 ",13
312,The Final Year,Magnolia…,Magnolia Pictures,"$191,900 ","$67,971 ",39
313,Owarani hito Miyazaki: Hayao,GKIDS,GKIDS,"$187,320 ","$10,238 ",377
314,Xi You Ji Nu Er Guo,WellGoUSA,Well Go USA,"$187,074 ","$95,577 ",34
315,Yao Ling Ling,WellGoUSA,Well Go USA,"$186,135 ","$79,180 ",24
316,Estiu 1993,Oscillosc…,Oscilloscope Pictures,"$185,903 ","$21,307 ",19
317,Madeline's Madeline,Oscillosc…,Oscilloscope Pictures,"$185,576 ","$18,009 ",33
318,Karwaan,SelfDist…,Self Distributed,"$182,009 ","$98,460 ",58
319,"Ni Hao, Zhi Hua",ChinaLio…,China Lion Film Distribution,"$179,721 ","$80,485 ",23
320,BuyBust,WellGoUSA,Well Go USA,"$178,471 ","$77,955 ",25
321,Les gardiennes,MusicBox…,Music Box Films,"$177,331 ","$7,479 ",10
322,Always at the Carlyle,GoodDeed…,Good Deed Entertainment,"$174,251 ","$9,239 ",23
323,Changgwol,WellGoUSA,Well Go USA,"$167,937 ","$18,326 ",29
324,Lamant double,CohenMed…,Cohen Media,"$167,093 ","$62,995 ",50
325,Boom for Real: The Late Teenage Years of Jean-M…,Magnolia…,Magnolia Pictures,"$166,616 ","$22,717 ",14
326,Far From the Tree,Sundance…,Sundance Selects,"$166,018 ","$19,885 ",22
327,The Last Resort,KinoLorber,Kino Lorber,"$158,646 ","$8,280 ",13
328,Batti Gul Meter Chalu,ErosEnte…,Eros Entertainment,"$153,847 ","$153,847 ",64
329,Eating Animals,Sundance…,Sundance Selects,"$149,614 ","$34,524 ",25
330,Ghost Stories,IFCMidnight,IFC Midnight,"$148,747 ","$11,972 ",24
331,Bad Reputation,Magnolia…,Magnolia Pictures,"$148,568 ","$130,675 ",196
332,Museo,YouTube,YouTube,"$148,505 ","$16,554 ",12
333,Journey's End,GoodDeed…,Good Deed Entertainment,"$148,275 ","$12,700 ",35
334,The Great Buster,CohenMed…,Cohen Media,"$144,199 ","$7,107 ",14
335,Support The Girls,Magnolia…,Magnolia Pictures,"$129,124 ","$51,167 ",35
336,Le Jeune Karl Marx,TheOrchard,The Orchard,"$125,659 ","$26,097 ",13
337,Der Himmel über Berlin,JanusFilms,Janus Films,"$123,820 ","$12,885 ",4
338,Love After Love,IFCFilms,IFC Films,"$121,098 ","$11,290 ",29
339,Unga Astrid,MusicBox…,Music Box Films,"$120,486 ","$5,361 ",16
340,Nan Ji Jue Lian,ChinaLio…,China Lion Film Distribution,"$118,352 ","$57,713 ",27
341,Bisbee ‘17,4thRowF…,4th Row Films,"$117,470 ","$6,650 ",15
342,Ryuichi Sakamoto: Coda,MUBI,MUBI,"$117,460 ","$12,827 ",9
343,‘85 The Greatest Team in Football History,FathomEv…,Fathom Events,"$115,463 ",$0 ,199
344,Gonjiam: Haunted Asylum,WellGoUSA,Well Go USA,"$115,252 ","$19,017 ",7
345,Bodied,Independe…,Independent Indian,"$113,956 ","$53,000 ",17
346,"Hale County This Morning, This Evening",CinemaGuild,Cinema Guild,"$112,300 ","$8,640 ",8
347,Yoake tsugeru Rû no uta,GKIDS,GKIDS,"$110,168 ","$60,773 ",97
348,Hyeobsang,CJEntert…,CJ Entertainment,"$109,856 ","$23,764 ",13
349,El Angel,TheOrchard,The Orchard,"$109,608 ","$23,348 ",11
350,Der Hauptmann,MusicBox…,Music Box Films,"$109,226 ","$7,568 ",10
351,Mary Shelley,IFCFilms,IFC Films,"$108,900 ","$12,570 ",30
352,Bar Bahar,FilmMove…,Film Movement,"$107,977 ","$5,888 ",8
353,"Love, Cecil",Zeitgeist,Zeitgeist,"$106,057 ","$9,331 ",8
354,Namaste England,ErosEnte…,Eros Entertainment,"$104,079 ","$67,612 ",71
355,Joseon Myungtamjung: Heubhyeolgwimaui Bimil,WellGoUSA,Well Go USA,"$104,012 ","$30,288 ",9
356,La douleur,MusicBox…,Music Box Films,"$103,770 ","$11,653 ",11
357,Tian Qi Yu Bao,ChinaLio…,China Lion Film Distribution,"$103,053 ","$35,363 ",21
358,Filmworker,KinoLorber,Kino Lorber,"$102,609 ","$7,984 ",17
359,Les Fantômes dIsmaël,Magnolia…,Magnolia Pictures,"$102,510 ","$19,158 ",27
360,Sungnan Hwangso,WellGoUSA,Well Go USA,"$101,417 ","$42,133 ",22
361,All About Nina,TheOrchard,The Orchard,"$100,335 ","$26,468 ",54
362,Revenge,Neon,Neon,"$99,197 ","$45,924 ",37
363,Champion,WellGoUSA,Well Go USA,"$97,470 ","$17,095 ",29
364,Laissez bronzer les cadavres,KinoLorber,Kino Lorber,"$93,409 ","$11,918 ",13
365,Reign of Judges: Title of Liberty,DarinSou…,"Darin Southam Endeavor, Inc.","$93,224 ",$0 ,14
366,L'empire de la perfection,Oscillosc…,Oscilloscope Pictures,"$90,964 ","$7,878 ",22
367,Running for Grace,BlueFox…,Blue Fox Entertainment,"$90,782 ","$30,597 ",13
368,Sandome no satsujin,FilmMove…,Film Movement,"$89,315 ","$10,670 ",10
369,The Price of Everything,HBODocum…,HBO Documentary,"$87,400 ","$16,817 ",8
370,Nostalgia,Bleecker…,Bleecker Street,"$86,301 ","$15,955 ",140
371,Da Shi Xiong,WellGoUSA,Well Go USA,"$85,624 ","$41,225 ",25
372,Sweet Country,SamuelGo…,Samuel Goldwyn Films,"$85,556 ",$0 ,7
373,Long Xia Xing Jing,ChinaLio…,China Lion Film Distribution,"$85,172 ","$35,015 ",12
374,How to Talk to Girls at Parties,MongrelM…,Mongrel Media,"$84,809 ",$827 ,103
375,Jusquà la garde,KinoLorber,Kino Lorber,"$83,882 ","$4,947 ",7
376,La caméra de Claire,CinemaGuild,Cinema Guild,"$83,418 ","$11,489 ",5
377,Le Redoutable,CohenMed…,Cohen Media,"$82,264 ","$10,994 ",20
378,Bel Canto,ScreenMe…,Screen Media Films,"$80,134 ","$12,421 ",30
379,Da Shi Jie,Strand,Strand,"$79,326 ","$10,463 ",15
380,En el Séptimo Día,CinemaGuild,Cinema Guild,"$78,270 ","$12,793 ",9
381,93Queen,Abramoram…,Abramorama Films,"$76,056 ","$6,302 ",3
382,The Riot Act,Hannover…,Hannover House,"$75,506 ","$28,840 ",10
383,Tehran Taboo,KinoLorber,Kino Lorber,"$74,758 ","$4,962 ",9
384,Es war einmal in Deutschland...,FilmMove…,Film Movement,"$73,730 ","$4,874 ",6
385,El último Traje,Outsider,Outsider,"$73,548 ","$27,549 ",6
386,"Nico, 1988",Magnolia…,Magnolia Pictures,"$73,304 ","$12,309 ",12
387,Helicopter Eela,ErosEnte…,Eros Entertainment,"$71,971 ",$0 ,70
388,Wastelander,IndicanP…,Indican Pictures,"$70,045 ","$23,078 ",22
389,Parchi,AtlasDis…,Atlas Distribution,"$69,431 ","$34,437 ",39
390,Outside In,TheOrchard,The Orchard,"$68,492 ","$14,136 ",16
391,Chef Flynn,KinoLorber,Kino Lorber,"$68,407 ","$29,869 ",10
392,Where Hands Touch,Vertical…,Vertical Entertainment,"$67,743 ","$67,743 ",103
393,Undir trénu,Magnolia…,Magnolia Pictures,"$67,596 ","$13,617 ",9
394,"Monrovia, Indiana",Zipporah,Zipporah,"$67,475 ","$5,172 ",14
395,The Doctor From India,Zeitgeist,Zeitgeist,"$67,136 ","$2,442 ",5
396,Le Grand Mechant Renard et Autres Contes...,GKIDS,GKIDS,"$66,854 ","$2,402 ",4
397,3100: Run and Become,Illumine…,Illumine Films,"$65,524 ",$0 ,7
398,Beuys,KinoLorber,Kino Lorber,"$65,410 ","$9,084 ",6
399,Nancy,SamuelGo…,Samuel Goldwyn Films,"$64,011 ","$15,056 ",11
400,The Gardener,Gravitas…,Gravitas Venture,"$62,734 ","$6,298 ",2
401,Never Goin' Back,A24,A24,"$61,271 ","$10,322 ",27
402,Viper Club,Roadside…,Roadside Attractions,"$60,607 ","$14,180 ",70
403,Where is Kyra?,GreatPoi…,Great Point Media,"$59,717 ","$6,019 ",65
404,Bomb City,Gravitas…,Gravitas Venture,"$59,329 ",$0 ,1
405,"Westwood: Punk, Icon, Activist",Greenwich,Greenwich,"$58,799 ","$4,450 ",8
406,Horn From the Heart: The Paul Butterfield Story,Abramoram…,Abramorama Films,"$58,597 ","$3,086 ",2
407,A Kid Like Jake,IFCFilms,IFC Films,"$58,403 ","$8,936 ",13
408,Cynthia,IndicanP…,Indican Pictures,"$58,090 ","$34,587 ",21
409,In Search of Greatness,SelfDist…,Self Distributed,"$58,090 ","$32,952 ",16
410,Woman Walks Ahead,A24,A24,"$57,528 ","$6,863 ",6
411,Black 47,IFCFilms,IFC Films,"$57,520 ","$8,600 ",100
412,Ramen Heads,Gunpowder…,Gunpowder & Sky,"$57,346 ","$7,085 ",6
413,Django,Underthe…,Under the Milk Way,"$56,556 ","$11,722 ",7
414,Il grande silenzio,FilmMove…,Film Movement,"$53,074 ","$8,755 ",6
415,Wanda,JanusFilms,Janus Films,"$52,927 ","$10,679 ",8
416,Sanpo Suru Shinryakusha,SuperLTD,Super LTD,"$52,087 ","$8,370 ",42
417,Garry Winogrand: All Things Are Photographable,Greenwich,Greenwich,"$51,194 ","$9,058 ",4
418,I am Not a Witch,FilmMove…,Film Movement,"$50,868 ","$12,191 ",8
419,The China Hustle,Magnolia…,Magnolia Pictures,"$48,650 ","$25,791 ",20
420,Bigger,Freestyle…,Freestyle Releasing,"$46,382 ","$31,477 ",61
421,Hal,Oscillosc…,Oscilloscope Pictures,"$45,889 ","$5,150 ",10
422,Summer in the Forest,Abramoram…,Abramorama Films,"$45,542 ","$8,366 ",6
423,Hva vil folk si,KinoLorber,Kino Lorber,"$44,156 ","$4,024 ",4
424,Liyana,Abramoram…,Abramorama Films,"$44,045 ","$5,160 ",4
425,Hitler's Hollywood,KinoLorber,Kino Lorber,"$43,766 ","$8,634 ",6
426,Antonio Lopez 1970: Sex Fashion & Disco,FilmMove…,Film Movement,"$43,169 ","$7,167 ",5
427,Western,CinemaGuild,Cinema Guild,"$41,042 ","$6,688 ",4
428,A Ciambra,IFCFilms,IFC Films,"$40,483 ","$6,330 ",6
429,Submission,GreatPoi…,Great Point Media,"$39,985 ",$0 ,39
430,Namiya,ChinaLio…,China Lion Film Distribution,"$39,584 ","$39,584 ",21
431,Divide and Conquer: The Story of Roger Ailes,Magnolia…,Magnolia Pictures,"$38,510 ","$18,833 ",16
432,Humor Me,Shout!Fa…,Shout! Factory,"$38,419 ","$3,342 ",5
433,Gray Matter,IndicanP…,Indican Pictures,"$38,034 ","$14,064 ",12
434,The Heart of Nuba,Abramoram…,Abramorama Films,"$37,880 ","$4,016 ",4
435,Golden Exits,SonyPict…,Sony Pictures,"$37,801 ","$11,719 ",11
436,Krystal,Paladin,Paladin,"$37,516 ",$0 ,86
437,Gui Mi 2,WellGoUSA,Well Go USA,"$37,115 ","$15,044 ",4
438,Breath,FilmRise,Film Rise,"$37,109 ","$5,258 ",21
439,Le Retour du Héros,DistribF…,Distrib Films,"$37,108 ","$1,393 ",3
440,Rodin,CohenMed…,Cohen Media,"$36,720 ","$3,144 ",8
441,Mind Game,GKIDS,GKIDS,"$36,613 ","$5,609 ",7
442,"Bedoune Tarikh, Bedoune Emza",DistribF…,Distrib Films,"$36,446 ","$3,105 ",10
443,The Road Movie,Oscillosc…,Oscilloscope Pictures,"$35,757 ","$17,175 ",19
444,That Summer,Sundance…,Sundance Selects,"$34,556 ","$5,977 ",5
445,24 Frames: Before and After Lumiere,JanusFilms,Janus Films,"$34,483 ","$8,101 ",2
446,Holy Hell,IndicanP…,Indican Pictures,"$34,366 ","$21,504 ",7
447,Ingmar Bergman: Vermächtnis eines Jahrhundertge…,Oscillosc…,Oscilloscope Pictures,"$33,275 ","$6,500 ",8
448,Soller's Point,Oscillosc…,Oscilloscope Pictures,"$32,608 ","$10,618 ",4
449,Moynihan,FirstRun…,First Run Features,"$31,971 ","$4,416 ",2
450,As Boas Maneiras,DistribF…,Distrib Films,"$31,177 ","$2,476 ",13
451,Poor Boy,IndicanP…,Indican Pictures,"$31,031 ","$10,920 ",5
452,L'eau froide,JanusFilms,Janus Films,"$30,209 ","$5,110 ",1
453,La novia del desierto,Strand,Strand,"$29,764 ","$2,127 ",4
454,Charm City,PBSDistr…,PBS Distribution,"$29,335 ","$10,511 ",3
455,L'apparition,MusicBox…,Music Box Films,"$28,293 ","$9,830 ",7
456,On Her Shoulders,Oscillosc…,Oscilloscope Pictures,"$28,288 ","$4,374 ",4
457,The Cured,IFCFilms,IFC Films,"$26,630 ","$4,875 ",28
458,Milford Graves: Full Mantis,CinemaGuild,Cinema Guild,"$26,443 ","$7,407 ",3
459,The Charmer,FilmMove…,Film Movement,"$26,167 ","$4,128 ",3
460,The Misandrists,Cartilage…,Cartilage Films,"$26,123 ","$3,278 ",5
461,Ridge Runners,IndicanP…,Indican Pictures,"$26,019 ","$8,015 ",7
462,Jet Trash,IndicanP…,Indican Pictures,"$26,002 ","$4,914 ",3
463,Swimming With Men,IFCFilms,IFC Films,"$24,888 ","$10,844 ",31
464,Geu Hu,CinemaGuild,Cinema Guild,"$24,776 ","$4,474 ",6
465,Life & Nothing More,CFI,CFI,"$24,358 ","$6,536 ",6
466,Vazante,MusicBox…,Music Box Films,"$23,884 ","$3,489 ",6
467,Death House,Hannover…,Hannover House,"$23,833 ","$10,140 ",7
468,The Judge,IdleWild…,Idle Wild Films,"$22,257 ",$0 ,3
469,Winning Formula,IndicanP…,Indican Pictures,"$22,112 ","$4,505 ",5
470,Loving Pablo,OTLRelea…,OTL Releasing,"$22,017 ","$16,564 ",15
471,The Female Brain,IFCFilms,IFC Films,"$21,786 ","$6,886 ",26
472,Mes provinciales,KinoLorber,Kino Lorber,"$21,598 ","$3,467 ",2
473,Half the Picture,Gravitas…,Gravitas Venture,"$21,595 ","$6,581 ",1
474,Tyrel,Magnolia…,Magnolia Pictures,"$21,456 ","$6,059 ",5
475,The Happys,IndicanP…,Indican Pictures,"$21,108 ","$7,707 ",2
476,L'atelier,Strand,Strand,"$20,590 ","$2,860 ",8
477,The Devil and Father Amorth,TheOrchard,The Orchard,"$20,449 ","$7,814 ",8
478,Apocalypsis,IndicanP…,Indican Pictures,"$20,052 ","$3,945 ",3
479,Acht Stunden sind kein Tag,JanusFilms,Janus Films,"$19,987 ","$5,880 ",1
480,"L'une chante, l'autre pas",JanusFilms,Janus Films,"$19,919 ","$6,700 ",2
481,Active Measures,SuperLTD,Super LTD,"$19,862 ","$9,509 ",2
482,Freak Show,IFCFilms,IFC Films,"$19,696 ","$4,809 ",9
483,Who We Are Now,FilmRise,Film Rise,"$19,128 ","$5,188 ",3
484,Oolong Courtyard:Kung Fu School,ChinaLio…,China Lion Film Distribution,"$19,065 ","$19,065 ",10
485,Anything,Paladin,Paladin,"$19,037 ","$4,110 ",27
486,Frank and Ava,Gravitas…,Gravitas Venture,"$18,829 ","$3,080 ",3
487,Crime + Punishment,IFCFilms,IFC Films,"$18,644 ","$8,787 ",3
488,Madame Hyde,Cartilage…,Cartilage Films,"$18,627 ","$5,943 ",2
489,306 Hollywood,ElTigre…,El Tigre Productions,"$18,399 ","$8,150 ",4
490,Gabriel e a Montanha,Strand,Strand,"$17,012 ","$4,963 ",2
491,Desolation,ParadeDe…,Parade Deck Films,"$16,920 ","$11,320 ",2
492,Goodland,ParadeDe…,Parade Deck Films,"$16,765 ",$0 ,2
493,Narcissister Organ Player,FilmMove…,Film Movement,"$15,334 ","$1,983 ",4
494,Sicilian Ghost Story,Strand,Strand,"$15,285 ","$4,324 ",2
495,People's Republic of Desire,TripodMedia,Tripod Media,"$15,241 ",$0 ,5
496,Quand tu liras cette lettre,RialtoPi…,Rialto Pictures,"$15,171 ","$5,166 ",2
497,A Prayer Before Dawn,A24,A24,"$14,453 ",$0 ,13
498,Weed the People,Abramoram…,Abramorama Films,"$14,419 ","$4,279 ",2
499,The Last Movie Star,A24,A24,"$14,410 ","$3,780 ",5
500,The Escape,IFCFilms,IFC Films,"$14,018 ",$0 ,29
501,The Boy Downstairs,FilmRise,Film Rise,"$13,638 ","$5,995 ",1
502,Un Traductor,FilmMove…,Film Movement,"$13,509 ","$4,412 ",2
503,Our Blood is Wine,MusicBox…,Music Box Films,"$13,348 ","$1,540 ",5
504,Here and Now,AMBI,AMBI,"$13,337 ","$8,090 ",51
505,Tyut pei ba ba,ChinaLio…,China Lion Film Distribution,"$13,331 ","$7,950 ",8
506,Like Me,KinoLorber,Kino Lorber,"$12,965 ","$5,064 ",4
507,"Lou Andreas-Salomé, The Audacity to be Free",CinemaLibre,Cinema Libre,"$12,875 ","$5,060 ",2
508,American Socialist: The Life & Times of Eugene …,FirstRun…,First Run Features,"$12,610 ","$2,823 ",3
509,Kinder des Kalifats,KinoLorber,Kino Lorber,"$12,579 ",$0 ,6
510,My Art,FilmMove…,Film Movement,"$12,554 ","$5,538 ",2
511,Head Full of Honey,WarnerBros.,Warner Bros.,"$12,350 ","$8,715 ",4
512,The Most Unknown,Abramoram…,Abramorama Films,"$12,119 ","$2,905 ",2
513,Minding the Gap,Magnolia…,Magnolia Pictures,"$11,998 ","$6,812 ",5
514,The Last Race,Magnolia…,Magnolia Pictures,"$11,947 ","$2,437 ",3
515,Summer 03,BlueFox…,Blue Fox Entertainment,"$11,746 ","$4,174 ",15
516,Chez Nous,DistribF…,Distrib Films,"$11,568 ","$2,442 ",2
517,Rendez-vous de juillet,RialtoPi…,Rialto Pictures,"$11,321 ","$6,080 ",2
518,The Public Image is Rotten,Abramoram…,Abramorama Films,"$11,293 ","$8,052 ",1
519,Bullitt County,SelfDist…,Self Distributed,"$11,257 ","$6,511 ",9
520,The Assassin's Code,Gravitas…,Gravitas Venture,"$11,218 ","$11,218 ",12
521,The Wedding Party 2: Destination Dubai,IronFlix,Iron Flix,"$11,140 ","$4,905 ",2
522,The Samuel Project,in8Relea…,in8 Releasing,"$11,087 ","$11,087 ",2
523,Souvenir,Strand,Strand,"$11,078 ","$2,267 ",3
524,The Advocates,CinemaLibre,Cinema Libre,"$10,402 ","$4,355 ",4
525,Hevi reissu,Doppelgan…,Doppelganger Releasing,"$10,153 ","$5,419 ",19
526,River Runs Red,Cinedigm,Cinedigm,"$9,893 ","$6,349 ",20
527,Please Stand By,Magnolia…,Magnolia Pictures,"$9,868 ","$4,090 ",7
528,Mama Africa,ArtMattan…,Art Mattan Films,"$9,808 ","$3,495 ",3
529,La quête d'Alain Ducasse,Magnolia…,Magnolia Pictures,"$9,627 ","$2,711 ",5
530,Strangers on the Earth,FirstRun…,First Run Features,"$9,518 ","$3,768 ",2
531,El Mar La Mar,CinemaGuild,Cinema Guild,"$9,065 ",$0 ,1
532,Blood Feast,Hannover…,Hannover House,"$8,708 ","$4,046 ",3
533,November,Oscillosc…,Oscilloscope Pictures,"$8,620 ","$4,300 ",3
534,Summer of 67,SelfDist…,Self Distributed,"$8,492 ","$5,400 ",1
535,Furlough,IFCFilms,IFC Films,"$8,472 ",$0 ,0
536,Lasciati Andare,Menemsha…,Menemsha Entertainment,"$8,128 ","$8,128 ",8
537,Dark River,FilmRise,Film Rise,"$7,714 ","$4,246 ",2
538,Shan zhong zhuan qi,KinoLorber,Kino Lorber,"$7,639 ",$0 ,2
539,American Chaos,SonyPict…,Sony Pictures,"$7,616 ","$7,616 ",26
540,The Lodgers,EpicPict…,Epic Pictures Group,"$7,362 ","$5,053 ",17
541,Aala Kaf Ifrit,Oscillosc…,Oscilloscope Pictures,"$7,263 ",$0 ,2
542,In Echo Park,IndicanP…,Indican Pictures,"$7,072 ","$4,222 ",2
543,This is Congo,Abramoram…,Abramorama Films,"$7,051 ","$3,690 ",2
544,In the Land of Pomegranates,FirstRun…,First Run Features,"$7,014 ","$3,072 ",1
545,Painless,IndicanP…,Indican Pictures,"$6,940 ","$2,958 ",2
546,Duck Butter,TheOrchard,The Orchard,"$6,877 ","$2,797 ",2
547,Calling All Earthlings,CarpeStella,Carpe Stella,"$6,756 ",$0 ,2
548,Okujirasama: Futatsu no seigi no monogatari,FineLine,Fine Line,"$6,747 ",$0 ,1
549,Lécole buissonnière,DistribF…,Distrib Films,"$6,300 ",$0 ,2
550,Spiral,CohenMed…,Cohen Media,"$6,279 ","$3,258 ",2
551,Skjelvet,Magnolia…,Magnolia Pictures,"$6,235 ","$3,256 ",7
552,Lemonade,MongrelM…,Mongrel Media,"$5,979 ","$1,297 ",6
553,Shoah Four Sisters,CohenMed…,Cohen Media,"$5,512 ","$2,840 ",3
554,Cuban Food Stories,FirstRun…,First Run Features,"$5,434 ","$3,032 ",1
555,Postcards From London,Strand,Strand,"$5,312 ","$2,686 ",1
556,"Distant Voices, Still Lives",ArrowRel…,Arrow Releasing,"$5,234 ","$2,395 ",1
557,In Searching,IndicanP…,Indican Pictures,"$5,210 ","$3,090 ",2
558,Intersection,IndicanP…,Indican Pictures,"$5,116 ","$1,940 ",2
559,The Texture of Falling,SelfDist…,Self Distributed,"$5,010 ",$676 ,1
560,The Long Dumb Road,Universal,Universal Studio,"$4,667 ","$4,667 ",1
561,Kangaroo,Abramoram…,Abramorama Films,"$4,547 ","$2,282 ",2
562,Kickboxer: Retaliation,WellGoUSA,Well Go USA,"$4,537 ","$3,061 ",10
563,Weightless,Paladin,Paladin,"$4,461 ","$2,515 ",3
564,Stella's Last Weekend,Paladin,Paladin,"$4,215 ","$2,375 ",4
565,The Party's Just Beginning,TheOrchard,The Orchard,"$4,145 ","$2,770 ",10
566,The Citizen,ArtMattan…,Art Mattan Films,"$3,901 ",$0 ,1
567,The Second Time Around,FirstRun…,First Run Features,"$3,837 ","$1,600 ",1
568,La Familia,FilmMove…,Film Movement,"$3,696 ","$2,030 ",2
569,Under the Wire,Abramoram…,Abramorama Films,"$3,429 ","$2,271 ",2
570,Marvin ou la belle éducation,MongrelM…,Mongrel Media,"$3,420 ",$0 ,1
571,The Cage Fighter,IFCFilms,IFC Films,"$3,392 ","$1,204 ",2
572,Over the Limit,FilmMove…,Film Movement,"$3,243 ",$0 ,2
573,Hot to Trot,FirstRun…,First Run Features,"$3,133 ","$3,133 ",1
574,Nelly,CinemaLibre,Cinema Libre,"$3,046 ","$1,304 ",2
575,An L.A. Minute,Strand,Strand,"$2,791 ","$2,791 ",3
576,Nana,FirstRun…,First Run Features,"$2,784 ","$1,240 ",1
577,Straight Into a Storm,Abramoram…,Abramorama Films,"$2,684 ","$1,964 ",1
578,12 jours,DistribF…,Distrib Films,"$2,633 ",$923 ,2
579,ACORN and the Firestorm,FirstRun…,First Run Features,"$2,621 ","$2,621 ",1
580,Here Comes the Grump,BlueFox…,Blue Fox Entertainment,"$2,150 ","$1,593 ",10
581,West of the Jordan River,KinoLorber,Kino Lorber,"$1,926 ","$1,047 ",1
582,The Lost Village,FirstRun…,First Run Features,"$1,780 ",$840 ,1
583,El Pacto,SonyPict…,Sony Pictures,"$1,453 ","$1,453 ",10
584,That Way Madness Lies,FirstRun…,First Run Features,"$1,447 ",$579 ,2
585,El Secreto de Marrowbone,MagnetPi…,Magnet Pictures,"$1,377 ",$624 ,7
586,Beauty & the Beholder,ReelOne…,Reel One Entertainment,"$1,368 ","$1,352 ",1
587,Invisible Hands,FirstRun…,First Run Features,"$1,034 ",$456 ,1
588,TVTV: Video Revolutionaries,FirstRun…,First Run Features,$812 ,$556 ,1
589,Billionaire Boys Club,Vertical…,Vertical Entertainment,$618 ,$618 ,10
590,Higher Power,MagnetPi…,Magnet Pictures,$528 ,$299 ,3
591,Mobile Homes,MongrelM…,Mongrel Media,$449 ,$449 ,1
